X--Trace 1::[transient: TIME],Y--Trace 1::[I_col: I(Q1:C)],,X--Trace 2::[transient: TIME],Y--Trace 2::[I_base: I(Q1:B)]
0.08750131263999932,0.0132698182210979,,0.08750131263999932,0.00009474686979051552
0.08750262335999863,0.013267742992373235,,0.08750262335999863,0.00009473008909748936
0.08750524479999724,0.013263597475384999,,0.08750524479999724,0.00009469653205261237
0.08751048767999449,0.01325530459543502,,0.08751048767999449,0.00009462944136040736
0.08752097343998896,0.013238726614252433,,0.08752097343998896,0.00009449534928447245
0.08754194495997793,0.013205588916582904,,0.08754194495997793,0.00009422752560564191
0.08758388799995585,0.013139398596002438,,0.08758388799995585,0.00009369331395042882
0.0876677740799117,0.013007347824720688,,0.0876677740799117,0.00009263061386802106
0.08776777407991171,0.01285051486469845,,0.08776777407991171,0.00009137369227403133
0.08786777407991171,0.012694318353100234,,0.08786777407991171,0.00009012748143681342
0.08796777407991171,0.012538765946911447,,0.08796777407991171,0.00008889189994217589
0.08800000000000001,0.012488774625853863,,0.08800000000000001,0.00008849597624090459
0.0880000001,0.012488774471148907,,0.0880000001,0.00008849597527413388
0.0880000003,0.012488774161687602,,0.0880000003,0.0000884959738600416
0.0880000007,0.01248877354290892,,0.0880000007,0.0000884959741506302
0.088000001,0.012488773079422541,,0.088000001,0.00008849597709741148
0.08800000107999999,0.012488772956022647,,0.08800000107999999,0.00008849597819501815
0.08800000123999999,0.012488772709405502,,0.08800000123999999,0.00008849598039015854
0.08800000155999999,0.01248877221736246,,0.08800000155999999,0.0000884959847799763
0.08800000219999998,0.012488771238504701,,0.08800000219999998,0.00008849599355791537
0.08800000347999996,0.012488769302509604,,0.08800000347999996,0.00008849601110734169
0.08800000603999993,0.01248876551727093,,0.08800000603999993,0.00008849604618083101
0.08800001115999985,0.012488758287555949,,0.08800001115999985,0.00008849611622816976
0.0880000213999997,0.012488745143033407,,0.0880000213999997,0.0000884962559383646
0.08800004187999941,0.01248872375218351,,0.08800004187999941,0.00008849653392648197
